Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
46,13.441,22.431,0,0.065,1.646,3.376,7.686,18.844,0.997
46,24.862,22.434,0,0.073,1.648,3.368,7.596,18.377,0.997
47,13.542,22.397,0,0.063,1.643,3.355,7.603,18.566,0.934
47,24.855,22.457,0,0.074,1.653,3.408,7.766,19.009,0.934
48,13.385,22.425,0,0.066,1.656,3.422,7.834,19.297,0.839
48,24.784,22.461,0,0.072,1.632,3.334,7.553,18.421,0.839
49,13.448,22.416,0,0.065,1.646,3.380,7.708,18.931,0.983
49,24.827,22.463,0,0.071,1.653,3.406,7.763,19.003,0.983
50,13.497,22.415,0,0.066,1.636,3.336,7.548,18.408,0.970
50,25.188,23.517,0,0.070,1.640,3.371,7.698,18.933,0.970
51,13.427,22.422,0,0.064,1.654,3.409,7.792,19.165,0.994
51,24.834,22.449,0,0.071,1.650,3.395,7.728,18.893,0.994
52,13.481,22.448,0,0.065,1.656,3.414,7.810,19.224,0.769
52,24.801,22.436,0,0.071,1.645,3.376,7.669,18.722,0.712
52,20.413,29.980,0,0.062,1.693,3.554,8.218,20.341,0.529
53,13.507,22.376,0,0.061,1.655,3.414,7.809,19.224,0.996
53,24.853,22.455,0,0.072,1.661,3.421,7.784,19.004,0.996
54,25.256,23.488,0,0.068,1.631,3.339,7.611,18.708,0.552
54,20.425,29.879,0,0.061,1.694,3.552,8.211,20.322,0.552
55,13.613,22.430,0,0.062,1.641,3.349,7.592,18.563,0.773
55,25.322,23.503,0,0.069,1.623,3.312,7.532,18.493,0.716
55,20.428,29.823,0,0.062,1.675,3.486,8.019,19.787,0.535
56,13.385,22.412,0,0.067,1.662,3.447,7.930,19.617,0.590
56,24.591,22.458,0,0.073,1.607,3.262,7.383,18.051,0.590
57,24.659,22.486,0,0.072,1.618,3.290,7.442,18.163,0.736
57,13.357,23.327,0,0.066,1.657,3.451,7.983,19.871,0.580
57,19.441,30.357,0,0.067,1.633,3.327,7.539,18.433,0.800
58,13.485,22.499,0,0.061,1.651,3.387,7.700,18.845,0.922
58,24.605,22.487,0,0.070,1.627,3.329,7.583,18.633,0.922
59,13.371,23.337,0,0.061,1.655,3.445,7.966,19.828,0.561
59,24.309,23.274,0,0.059,1.593,3.239,7.365,18.127,0.561
60,13.393,22.487,0,0.061,1.661,3.435,7.868,19.374,0.797
60,24.523,22.511,0,0.071,1.628,3.334,7.596,18.659,0.797
61,13.316,22.382,0,0.061,1.675,3.478,7.989,19.707,0.644
61,24.652,22.461,0,0.072,1.626,3.321,7.534,18.418,0.644
62,13.436,22.442,0,0.064,1.662,3.430,7.840,19.269,0.716
