Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
0,19.000,18.819,0,8.863,1.687,3.489,7.972,19.551,0.534
0,22.009,18.959,0,8.487,1.721,3.626,8.418,20.921,0.250
0,22.050,24.313,0,8.908,1.737,3.665,8.493,21.018,0.339
0,18.942,24.914,0,8.895,1.679,3.475,7.954,19.560,0.526
1,18.988,18.844,0,9.089,1.703,3.547,8.146,20.049,0.267
1,22.005,19.529,0,8.911,1.747,3.697,8.586,21.279,0.286
1,18.830,24.479,0,9.974,1.724,3.595,8.218,20.067,0.250
1,21.959,24.249,0,8.711,1.712,3.591,8.306,20.571,0.269
2,18.990,18.920,0,8.889,1.708,3.570,8.229,20.329,0.298
2,22.055,19.519,0,9.171,1.742,3.673,8.490,20.944,0.253
2,21.976,24.253,0,8.707,1.716,3.605,8.344,20.672,0.295
2,18.837,24.499,0,9.997,1.730,3.617,8.287,20.273,0.250
3,18.937,18.823,0,9.134,1.700,3.536,8.106,19.920,0.250
3,21.917,18.963,0,8.387,1.706,3.577,8.288,20.593,0.250
3,21.295,24.428,0,10.242,1.823,3.934,9.208,22.815,0.251
3,18.827,24.490,0,10.043,1.739,3.646,8.373,20.511,0.251
4,18.986,18.802,0,9.039,1.700,3.536,8.110,19.941,0.251
4,21.925,18.931,0,8.436,1.716,3.611,8.380,20.836,0.257
4,18.860,24.465,0,9.906,1.726,3.601,8.240,20.143,0.250
4,21.953,24.235,0,8.705,1.715,3.606,8.352,20.706,0.257
5,19.679,18.756,0,10.069,1.788,3.806,8.812,21.652,0.250
5,22.024,18.897,0,8.842,1.714,3.596,8.318,20.602,0.443
5,18.929,24.448,0,9.600,1.704,3.531,8.046,19.628,0.250
5,22.056,24.246,0,8.866,1.734,3.664,8.508,21.103,0.443
6,19.657,18.778,0,10.248,1.776,3.766,8.695,21.323,0.250
6,22.016,18.957,0,8.817,1.722,3.628,8.420,20.918,0.437
6,18.991,24.413,0,9.516,1.695,3.512,8.020,19.633,0.250
6,22.009,24.233,0,8.886,1.731,3.658,8.505,21.136,0.437
7,19.027,18.845,0,8.746,1.682,3.477,7.950,19.528,0.362
7,22.038,18.928,0,8.702,1.713,3.596,8.326,20.651,0.362
7,18.955,24.448,0,9.486,1.702,3.525,8.036,19.616,0.250
7,22.099,24.257,0,9.068,1.741,3.682,8.547,21.182,0.250
8,19.693,18.732,0,10.028,1.794,3.827,8.877,21.841,0.250
8,22.084,18.841,0,9.156,1.713,3.586,8.266,20.402,0.276
8,18.957,24.433,0,9.493,1.698,3.515,8.013,19.570,0.251
8,22.075,24.256,0,8.967,1.741,3.686,8.566,21.251,0.275
9,19.100,18.906,0,8.439,1.694,3.531,8.133,20.110,0.250
9,22.049,18.890,0,8.935,1.708,3.574,8.246,20.385,0.346
9,18.972,24.462,0,9.503,1.699,3.518,8.022,19.591,0.250
9,22.082,24.262,0,9.003,1.744,3.694,8.589,21.310,0.346
10,19.692,18.766,0,10.032,1.785,3.797,8.788,21.586,0.250
10,22.042,18.899,0,8.926,1.718,3.607,8.345,20.667,0.333
10,18.971,24.448,0,9.467,1.697,3.515,8.021,19.614,0.250
10,22.089,24.257,0,9.052,1.741,3.685,8.560,21.231,0.333
11,19.672,18.770,0,10.071,1.785,3.802,8.811,21.681,0.250
11,22.058,18.890,0,8.980,1.708,3.573,8.243,20.375,0.340
11,18.961,24.426,0,9.463,1.698,3.515,8.013,19.568,0.250
11,22.097,24.244,0,9.075,1.740,3.680,8.544,21.174,0.340
12,19.097,18.864,0,8.455,1.691,3.517,8.085,19.957,0.250
12,22.098,18.872,0,9.035,1.710,3.579,8.255,20.398,0.358
12,18.956,24.463,0,9.464,1.695,3.505,7.979,19.465,0.250
12,22.126,24.264,0,9.048,1.749,3.707,8.620,21.379,0.358
13,19.678,18.775,0,10.093,1.783,3.791,8.771,21.549,0.250
13,22.032,18.900,0,8.910,1.716,3.603,8.337,20.655,0.257
13,18.971,24.444,0,9.469,1.693,3.500,7.972,19.465,0.250
13,22.122,24.267,0,9.162,1.745,3.695,8.581,21.266,0.257
14,19.026,18.853,0,8.754,1.688,3.500,8.018,19.720,0.329
14,22.006,18.945,0,8.633,1.716,3.607,8.364,20.767,0.320
14,18.937,24.488,0,9.583,1.701,3.523,8.025,19.572,0.250
