Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
0,20.216,17.006,0,10.177,1.795,3.838,8.925,22.019,0.333
0,18.705,17.662,0,12.188,1.902,4.208,10.023,25.139,0.333
0,18.823,21.074,0,10.886,1.801,3.860,8.997,22.241,0.333
1,20.286,20.323,0,12.942,1.901,4.196,9.963,24.902,1.000
2,18.764,17.676,0,11.555,1.876,4.124,9.795,24.545,0.500
2,18.862,21.081,0,10.549,1.790,3.835,8.957,22.212,0.500
3,18.838,21.010,0,10.836,1.791,3.831,8.926,22.078,1.000
4,18.791,17.740,0,11.984,1.868,4.092,9.685,24.188,0.500
4,20.190,20.959,0,10.719,1.808,3.887,9.083,22.496,0.500
5,20.269,16.953,0,10.026,1.810,3.894,9.101,22.538,0.334
5,18.037,17.733,0,9.664,1.780,3.817,8.953,22.346,0.334
5,18.761,21.134,0,10.556,1.804,3.872,9.038,22.365,0.333
6,20.994,20.260,0,10.635,1.815,3.938,9.300,23.295,0.500
6,18.814,20.916,0,10.217,1.772,3.777,8.800,21.813,0.500
7,36.540,9.869,0,9.179,1.725,3.551,7.960,18.971,0.333
7,21.119,17.601,0,10.557,1.837,3.991,9.409,23.479,0.333
7,18.828,21.222,0,11.037,1.791,3.821,8.872,21.860,0.333
8,21.255,16.918,0,10.159,1.804,3.871,9.036,22.375,0.500
8,18.914,20.335,0,11.084,1.823,3.948,9.292,23.179,0.500
9,18.920,20.218,0,12.422,1.858,4.060,9.599,23.975,1.000
10,18.706,17.698,0,12.186,1.889,4.162,9.890,24.769,0.500
10,18.842,20.968,0,10.465,1.801,3.875,9.079,22.567,0.500
11,18.768,17.696,0,12.038,1.883,4.143,9.837,24.626,0.500
11,18.870,20.982,0,10.471,1.795,3.852,9.007,22.355,0.500
12,18.838,17.806,0,12.036,1.854,4.041,9.525,23.718,0.500
12,20.217,20.913,0,10.846,1.806,3.880,9.061,22.434,0.500
13,18.752,17.731,0,12.185,1.872,4.102,9.710,24.247,0.500
13,20.190,20.953,0,10.631,1.805,3.878,9.063,22.455,0.500
14,18.836,17.789,0,12.001,1.862,4.071,9.621,24.009,0.500
14,20.171,20.940,0,10.846,1.804,3.875,9.048,22.399,0.500
15,18.059,17.766,0,10.084,1.777,3.810,8.939,22.317,0.500
15,18.803,21.057,0,10.843,1.804,3.875,9.054,22.433,0.500
16,20.987,20.358,0,10.721,1.837,4.012,9.517,23.900,0.500
16,18.888,21.031,0,10.381,1.787,3.829,8.950,22.229,0.500
17,20.973,20.339,0,10.730,1.844,4.040,9.608,24.180,0.502
17,18.894,21.042,0,10.451,1.794,3.853,9.017,22.413,0.502
18,21.146,16.942,0,9.827,1.807,3.890,9.108,22.617,0.500
18,19.687,21.190,0,11.316,1.809,3.871,8.982,22.072,0.500
19,21.047,16.852,0,9.958,1.780,3.800,8.859,21.963,0.500
19,18.837,21.074,0,10.341,1.766,3.740,8.649,21.278,0.500
20,18.787,17.684,0,11.598,1.857,4.055,9.582,23.920,0.500
20,18.858,21.184,0,10.981,1.800,3.863,9.021,22.348,0.500
21,18.765,17.689,0,11.396,1.880,4.138,9.836,24.660,0.333
21,21.047,17.622,0,10.449,1.824,3.965,9.376,23.513,0.334
21,18.827,21.134,0,10.799,1.797,3.854,8.993,22.271,0.334
22,21.028,16.982,0,9.389,1.781,3.816,8.937,22.262,0.500
22,18.867,21.101,0,10.373,1.770,3.769,8.766,21.693,0.500
23,18.876,17.059,0,9.768,1.809,3.912,9.206,22.983,0.500
23,18.902,21.068,0,10.325,1.784,3.822,8.936,22.200,0.500
24,20.325,16.948,0,10.770,1.821,3.925,9.178,22.726,0.502
24,18.877,21.030,0,10.459,1.786,3.823,8.921,22.114,0.502
25,18.727,17.688,0,12.269,1.880,4.129,9.788,24.465,0.500
25,18.873,21.015,0,10.699,1.795,3.853,9.007,22.350,0.500
26,20.269,17.011,0,10.563,1.805,3.870,9.014,22.256,0.637
26,18.803,17.711,0,11.973,1.882,4.141,9.834,24.623,0.333
26,18.900,20.977,0,10.521,1.801,3.878,9.098,22.653,0.637
27,18.803,17.775,0,11.600,1.861,4.069,9.623,24.032,0.500
27,18.859,21.043,0,10.731,1.791,3.835,8.950,22.180,0.500
28,20.325,16.956,0,10.617,1.813,3.892,9.067,22.367,0.749
28,18.855,21.079,0,10.723,1.794,3.841,8.953,22.153,0.749
29,18.909,17.772,0,11.553,1.847,4.030,9.534,23.851,0.510
29,21.021,20.254,0,11.285,1.824,3.955,9.314,23.238,0.510
30,18.861,20.306,0,12.307,1.875,4.119,9.771,24.459,1.000
31,21.003,20.301,0,11.019,1.825,3.961,9.342,23.344,1.000
32,18.856,17.821,0,11.483,1.855,4.052,9.578,23.914,0.500
32,20.293,20.387,0,13.148,1.917,4.250,10.127,25.373,0.500
33,18.854,17.746,0,11.726,1.863,4.071,9.621,24.008,0.500
33,18.889,21.096,0,11.238,1.791,3.825,8.890,21.930,0.500
34,18.929,16.881,0,10.753,1.796,3.859,9.038,22.482,0.529
34,21.084,20.197,0,10.986,1.810,3.910,9.196,22.948,0.529
35,18.848,17.846,0,11.475,1.859,4.062,9.598,23.953,0.502
35,18.854,21.060,0,11.209,1.802,3.864,9.010,22.286,0.502
36,18.821,17.768,0,11.885,1.855,4.044,9.539,23.766,0.500
36,20.248,21.018,0,11.235,1.812,3.892,9.084,22.465,0.500
37,18.837,17.772,0,11.921,1.857,4.055,9.576,23.885,0.333
37,20.277,20.356,0,13.086,1.910,4.226,10.059,25.190,0.333
37,18.947,20.909,0,10.189,1.801,3.882,9.124,22.768,0.333
38,18.818,17.773,0,11.831,1.865,4.083,9.658,24.115,0.500
38,20.225,20.962,0,10.878,1.805,3.876,9.047,22.387,0.500
39,18.832,17.793,0,11.642,1.857,4.055,9.577,23.891,0.500
39,18.907,21.016,0,10.631,1.801,3.873,9.068,22.533,0.500
40,18.868,17.766,0,11.676,1.862,4.075,9.645,24.112,0.500
40,18.904,21.012,0,10.664,1.792,3.835,8.947,22.161,0.500
41,18.727,17.693,0,12.060,1.881,4.135,9.806,24.522,0.500
41,18.846,21.056,0,10.832,1.800,3.864,9.025,22.368,0.500
42,18.766,17.688,0,11.738,1.880,4.141,9.850,24.709,0.250
42,20.995,20.283,0,10.546,1.821,3.956,9.350,23.424,0.250
42,18.840,20.956,0,10.212,1.777,3.793,8.841,21.912,0.250
42,14.367,50.030,0,8.986,1.594,3.099,6.643,15.320,0.250
43,18.776,17.702,0,11.525,1.871,4.110,9.757,24.449,0.500
43,18.873,21.021,0,10.355,1.791,3.842,8.989,22.340,0.500
44,20.309,17.024,0,10.094,1.816,3.916,9.165,22.718,0.333
44,18.734,17.716,0,11.543,1.881,4.136,9.817,24.566,0.333
44,18.797,21.103,0,10.902,1.803,3.873,9.045,22.401,0.333
45,20.250,17.001,0,10.512,1.805,3.870,9.013,22.244,0.337
45,18.758,17.656,0,11.985,1.878,4.129,9.799,24.529,0.333
45,18.872,21.092,0,10.808,1.794,3.847,8.992,22.311,0.337
46,20.971,20.370,0,11.131,1.828,3.974,9.390,23.504,1.000
47,20.975,16.988,0,9.249,1.766,3.768,8.808,21.944,0.500
47,18.862,21.063,0,10.478,1.780,3.801,8.855,21.923,0.500
48,18.861,17.796,0,11.546,1.833,3.976,9.357,23.314,0.646
48,21.089,20.353,0,11.693,1.846,4.029,9.533,23.854,0.646
49,20.988,20.342,0,11.095,1.827,3.970,9.375,23.452,0.500
49,18.973,20.927,0,10.013,1.787,3.843,9.030,22.559,0.500
50,20.929,20.386,0,10.983,1.823,3.962,9.361,23.442,1.000
51,18.801,17.685,0,11.643,1.866,4.089,9.688,24.240,0.333
51,21.013,20.357,0,10.873,1.833,3.992,9.442,23.648,0.333
51,18.940,21.004,0,10.107,1.787,3.836,8.990,22.396,0.333
52,18.748,17.674,0,11.986,1.881,4.137,9.824,24.599,0.333
52,20.939,20.352,0,10.437,1.817,3.943,9.314,23.334,0.451
52,18.858,20.979,0,10.348,1.787,3.829,8.953,22.237,0.451
53,18.874,17.790,0,11.201,1.831,3.976,9.371,23.387,0.500
53,18.981,21.086,0,10.615,1.791,3.850,9.033,22.524,0.500
54,21.088,17.666,0,11.201,1.834,3.991,9.433,23.617,0.500
54,18.991,21.070,0,10.419,1.783,3.826,8.974,22.385,0.500
55,18.936,17.840,0,10.891,1.837,4.005,9.476,23.734,0.500
55,20.925,21.049,0,10.000,1.774,3.801,8.909,22.229,0.500
56,18.889,17.825,0,11.558,1.840,3.998,9.410,23.432,0.500
56,20.940,20.325,0,11.125,1.833,3.984,9.398,23.466,0.500
57,18.888,17.838,0,11.563,1.834,3.979,9.362,23.308,0.796
57,20.265,21.083,0,11.649,1.820,3.923,9.173,22.718,0.796
58,18.927,20.313,0,12.094,1.864,4.088,9.703,24.328,1.000
59,18.838,17.795,0,11.511,1.841,4.003,9.431,23.502,0.898
59,21.023,20.353,0,11.455,1.827,3.965,9.348,23.338,0.898
60,18.913,17.829,0,11.073,1.831,3.979,9.393,23.477,0.500
60,21.048,20.990,0,10.125,1.768,3.776,8.824,21.961,0.500
61,19.029,17.925,0,10.480,1.821,3.958,9.366,23.501,0.502
61,21.072,21.060,0,10.765,1.776,3.789,8.830,21.883,0.502
62,18.930,17.819,0,11.059,1.833,3.986,9.413,23.535,0.500
62,20.980,21.034,0,10.208,1.774,3.795,8.885,22.143,0.500
