Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,83,19.755,20.688,0,14.447,1.872,4.077,9.575,23.715,0.500
1,84,19.690,20.087,0,12.505,1.780,3.768,8.684,21.249,1.000
1,85,19.765,20.670,0,14.839,1.865,4.049,9.483,23.433,1.000
1,86,19.762,20.691,0,14.555,1.861,4.040,9.463,23.387,1.000
1,87,19.694,20.682,0,14.137,1.850,4.002,9.347,23.051,1.000
1,88,20.312,20.706,0,15.019,1.835,3.942,9.152,22.452,1.000
1,89,20.231,20.730,0,14.650,1.815,3.872,8.940,21.836,1.000
1,90,20.407,20.871,0,13.939,1.810,3.861,8.924,21.834,1.000
1,91,19.648,20.058,0,12.826,1.791,3.806,8.788,21.519,1.000
1,92,19.663,19.903,0,13.137,1.795,3.817,8.809,21.552,1.000
1,93,19.658,19.901,0,13.185,1.799,3.833,8.864,21.724,1.000
1,94,19.802,19.893,0,13.833,1.770,3.719,8.497,20.607,1.000
1,95,19.688,19.938,0,13.302,1.801,3.836,8.871,21.740,1.000
1,96,19.632,19.764,0,14.238,1.842,3.970,9.248,22.751,1.000
1,97,19.623,19.858,0,13.438,1.806,3.849,8.893,21.755,1.000
1,98,19.730,19.820,0,13.555,1.821,3.902,9.055,22.229,0.500
1,99,19.694,19.849,0,13.276,1.835,3.958,9.243,22.825,0.500
1,100,20.364,19.919,0,13.438,1.821,3.908,9.092,22.384,0.333
1,101,19.708,19.845,0,13.558,1.815,3.878,8.980,22.005,1.000
1,102,19.643,19.886,0,13.462,1.815,3.884,9.008,22.114,1.000
1,103,20.331,19.816,0,14.056,1.840,3.967,9.249,22.783,1.000
1,104,19.685,19.844,0,13.449,1.822,3.905,9.063,22.253,0.500
1,105,19.731,19.985,0,13.138,1.791,3.806,8.790,21.531,1.000
1,106,19.798,20.034,0,12.698,1.780,3.769,8.684,21.246,1.000
1,107,19.798,20.022,0,12.968,1.788,3.793,8.750,21.417,1.000
1,108,20.323,20.088,0,13.249,1.802,3.849,8.929,21.956,1.000
1,109,20.325,20.081,0,13.001,1.809,3.874,9.006,22.175,1.000
1,110,20.311,20.678,0,15.069,1.844,3.972,9.243,22.708,1.000
1,111,20.312,20.673,0,15.035,1.833,3.933,9.124,22.369,1.000
1,112,19.819,20.038,0,12.653,1.780,3.769,8.685,21.246,1.000
1,113,20.348,20.660,0,15.281,1.822,3.893,8.998,21.992,1.000
1,114,19.661,20.000,0,12.815,1.795,3.822,8.838,21.671,1.000
1,115,20.277,20.713,0,14.907,1.821,3.891,9.001,22.020,1.000
1,116,20.307,20.717,0,15.088,1.815,3.869,8.930,21.807,1.000
1,117,19.649,19.996,0,12.850,1.791,3.808,8.796,21.548,1.000
1,118,19.694,19.998,0,12.933,1.795,3.818,8.819,21.600,1.000
1,119,19.797,20.000,0,13.078,1.789,3.797,8.759,21.437,1.000
1,120,19.713,19.939,0,13.313,1.799,3.827,8.840,21.638,1.000
1,121,19.781,20.006,0,12.911,1.789,3.798,8.768,21.473,1.000
1,122,19.804,20.006,0,13.044,1.790,3.800,8.770,21.465,1.000
1,123,19.800,20.011,0,13.071,1.787,3.792,8.744,21.393,1.000
1,124,19.678,20.072,0,12.495,1.788,3.796,8.761,21.446,1.000
1,125,19.767,19.985,0,13.238,1.787,3.788,8.726,21.325,1.000
